Estimated optical constants of the Tagish Lake meteorite, from Roush,
Meteoritics and Planetary Science, v. 38, no. 3, 419-426, 2003.
  Wavelength Frequency  real     imaginary
  (microns)    (cm-1)   index      index
    9.9887   1001.13   1.69442  2.2120E-02
    9.9695   1003.06   1.69436  2.2102E-02
    9.9504   1004.98   1.69426  2.2069E-02
    9.9313   1006.92   1.69423  2.2044E-02
    9.9123   1008.85   1.69417  2.1993E-02
    9.8934   1010.77   1.69408  2.1945E-02
    9.8745   1012.71   1.69412  2.1902E-02
    9.8558   1014.63   1.69401  2.1836E-02
    9.8371   1016.56   1.69399  2.1802E-02
    9.8184   1018.50   1.69405  2.1773E-02
    9.7999   1020.42   1.69395  2.1728E-02
    9.7814   1022.35   1.69400  2.1703E-02
    9.7630   1024.28   1.69394  2.1713E-02
    9.7446   1026.21   1.69396  2.1677E-02
    9.7263   1028.14   1.69397  2.1633E-02
    9.7081   1030.07   1.69399  2.1648E-02
    9.6900   1031.99   1.69394  2.1662E-02
    9.6719   1033.92   1.69399  2.1649E-02
    9.6539   1035.85   1.69396  2.1625E-02
    9.6359   1037.79   1.69411  2.1633E-02
    9.6181   1039.71   1.69405  2.1737E-02
    9.6003   1041.63   1.69407  2.1767E-02
    9.5825   1043.57   1.69416  2.1817E-02
    9.5648   1045.50   1.69417  2.1991E-02
    9.5472   1047.43   1.69414  2.2097E-02
    9.5297   1049.35   1.69406  2.2212E-02
    9.5122   1051.28   1.69400  2.2333E-02
    9.4947   1053.22   1.69403  2.2407E-02
    9.4774   1055.14   1.69387  2.2545E-02
    9.4601   1057.07   1.69381  2.2676E-02
    9.4429   1059.00   1.69363  2.2693E-02
    9.4257   1060.93   1.69361  2.2691E-02
    9.4086   1062.86   1.69357  2.2740E-02
    9.3916   1064.78   1.69348  2.2801E-02
    9.3746   1066.71   1.69344  2.2887E-02
    9.3576   1068.65   1.69348  2.2982E-02
    9.3408   1070.57   1.69335  2.3020E-02
    9.3240   1072.50   1.69335  2.3117E-02
    9.3072   1074.44   1.69345  2.3310E-02
    9.2906   1076.36   1.69327  2.3487E-02
    9.2739   1078.29   1.69337  2.3786E-02
    9.2574   1080.22   1.69311  2.4133E-02
    9.2409   1082.15   1.69287  2.4373E-02
    9.2244   1084.08   1.69272  2.4600E-02
    9.2081   1086.00   1.69228  2.4708E-02
    9.1917   1087.94   1.69225  2.4789E-02
    9.1755   1089.86   1.69193  2.5014E-02
    9.1593   1091.79   1.69165  2.5289E-02
    9.1431   1093.72   1.69132  2.5535E-02
    9.1270   1095.65   1.69088  2.5663E-02
    9.1110   1097.57   1.69042  2.5612E-02
    9.0950   1099.51   1.69014  2.5620E-02
    9.0791   1101.43   1.68974  2.5675E-02
    9.0632   1103.36   1.68942  2.5752E-02
    9.0474   1105.29   1.68895  2.5747E-02
    9.0316   1107.22   1.68859  2.5775E-02
    9.0159   1109.15   1.68806  2.5747E-02
    9.0002   1111.09   1.68764  2.5616E-02
    8.9846   1113.02   1.68720  2.5423E-02
    8.9691   1114.94   1.68675  2.5187E-02
    8.9536   1116.87   1.68646  2.4994E-02
    8.9382   1118.79   1.68602  2.4840E-02
    8.9228   1120.72   1.68568  2.4644E-02
    8.9075   1122.65   1.68520  2.4364E-02
    8.8922   1124.58   1.68482  2.4008E-02
    8.8769   1126.52   1.68462  2.3614E-02
    8.8618   1128.44   1.68422  2.3298E-02
    8.8467   1130.36   1.68393  2.2920E-02
    8.8316   1132.30   1.68375  2.2460E-02
    8.8166   1134.22   1.68352  2.2059E-02
    8.8016   1136.16   1.68342  2.1677E-02
    8.7867   1138.08   1.68322  2.1319E-02
    8.7718   1140.02   1.68312  2.0975E-02
    8.7570   1141.94   1.68291  2.0569E-02
    8.7422   1143.88   1.68285  2.0119E-02
    8.7275   1145.80   1.68274  1.9663E-02
    8.7128   1147.74   1.68278  1.9246E-02
    8.6982   1149.66   1.68274  1.8844E-02
    8.6836   1151.60   1.68283  1.8475E-02
    8.6691   1153.52   1.68289  1.8130E-02
    8.6547   1155.44   1.68287  1.7818E-02
