Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1700-230 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  3.236
Lorentz line parameters
center  width  strength
1536.4  0.0559  0.0520
1077.2  0.0324  0.1510
1006.8  0.0326  0.0320
 951.3  0.0386  0.1130
 904.5  0.0532  0.5450
 755.9  0.0956  0.0800
 634.8  0.0469  0.0660
 542.1  0.0814  0.2690
 507.3  0.0441  0.3450
 480.0  0.0599  0.4390
 433.6  0.0236  0.0390
 401.5  0.0875  0.7540
 333.1  0.0579  0.5840
 297.9  0.1063  0.5720
 186.3  0.3096  6.1260

 wave.    freq.   calc.        real       imag.
(micron)  (cm-1)  refl.       index       index
13.0208   768.0  0.1170       1.974      0.3131
12.9870   770.0  0.1171       1.977      0.3078
12.9534   772.0  0.1174       1.981      0.3020
12.9199   774.0  0.1177       1.986      0.2960
12.8866   776.0  0.1182       1.992      0.2899
12.8535   778.0  0.1189       1.999      0.2839
12.8205   780.0  0.1197       2.007      0.2780
12.7877   782.0  0.1207       2.016      0.2723
12.7551   784.0  0.1218       2.026      0.2670
12.7226   786.0  0.1231       2.037      0.2620
12.6904   788.0  0.1245       2.048      0.2575
12.6582   790.0  0.1260       2.060      0.2534
12.6263   792.0  0.1276       2.072      0.2498
12.5945   794.0  0.1293       2.085      0.2467
12.5628   796.0  0.1311       2.099      0.2441
12.5313   798.0  0.1330       2.112      0.2420
12.5000   800.0  0.1350       2.127      0.2405
12.4688   802.0  0.1370       2.141      0.2394
12.4378   804.0  0.1391       2.156      0.2388
12.4069   806.0  0.1413       2.172      0.2387
12.3762   808.0  0.1436       2.187      0.2390
12.3457   810.0  0.1459       2.203      0.2399
12.3153   812.0  0.1483       2.220      0.2413
12.2850   814.0  0.1508       2.237      0.2432
12.2549   816.0  0.1533       2.254      0.2455
12.2249   818.0  0.1559       2.271      0.2484
12.1951   820.0  0.1585       2.289      0.2518
12.1655   822.0  0.1612       2.307      0.2557
12.1359   824.0  0.1640       2.325      0.2601
12.1065   826.0  0.1668       2.344      0.2652
12.0773   828.0  0.1697       2.364      0.2708
12.0482   830.0  0.1727       2.383      0.2771
12.0192   832.0  0.1758       2.404      0.2840
11.9904   834.0  0.1790       2.424      0.2916
11.9617   836.0  0.1822       2.445      0.2999
11.9332   838.0  0.1855       2.467      0.3091
11.9048   840.0  0.1890       2.489      0.3191
11.8765   842.0  0.1925       2.512      0.3300
11.8483   844.0  0.1962       2.536      0.3419
11.8203   846.0  0.1999       2.560      0.3548
11.7925   848.0  0.2038       2.584      0.3690
11.7647   850.0  0.2078       2.610      0.3844
11.7371   852.0  0.2120       2.635      0.4012
11.7096   854.0  0.2163       2.662      0.4195
11.6822   856.0  0.2207       2.689      0.4396
11.6550   858.0  0.2254       2.717      0.4615
11.6279   860.0  0.2302       2.746      0.4854
11.6009   862.0  0.2351       2.775      0.5116
11.5741   864.0  0.2403       2.805      0.5403
11.5473   866.0  0.2457       2.835      0.5719
11.5207   868.0  0.2513       2.865      0.6065
11.4943   870.0  0.2572       2.896      0.6445
11.4679   872.0  0.2632       2.927      0.6863
11.4416   874.0  0.2696       2.957      0.7323
11.4155   876.0  0.2762       2.986      0.7828
11.3895   878.0  0.2830       3.014      0.8384
11.3636   880.0  0.2902       3.040      0.8993
11.3379   882.0  0.2976       3.063      0.9659
11.3122   884.0  0.3052       3.083       1.039
11.2867   886.0  0.3131       3.097       1.117
11.2613   888.0  0.3212       3.105       1.202
11.2360   890.0  0.3295       3.106       1.293
11.2108   892.0  0.3379       3.096       1.388
11.1857   894.0  0.3464       3.076       1.487
11.1607   896.0  0.3548       3.042       1.587
11.1359   898.0  0.3630       2.995       1.687
11.1111   900.0  0.3709       2.934       1.783
11.0865   902.0  0.3784       2.859       1.872
11.0619   904.0  0.3852       2.771       1.951
11.0375   906.0  0.3912       2.673       2.018
11.0132   908.0  0.3963       2.567       2.070
10.9890   910.0  0.4002       2.457       2.106
10.9649   912.0  0.4030       2.347       2.126
10.9409   914.0  0.4043       2.239       2.132
10.9170   916.0  0.4043       2.136       2.123
10.8932   918.0  0.4028       2.040       2.103
10.8696   920.0  0.3998       1.954       2.073
10.8460   922.0  0.3954       1.877       2.035
10.8225   924.0  0.3898       1.811       1.992
10.7991   926.0  0.3830       1.756       1.946
10.7759   928.0  0.3754       1.712       1.900
10.7527   930.0  0.3674       1.678       1.854
10.7296   932.0  0.3593       1.653       1.812
10.7066   934.0  0.3519       1.637       1.775
10.6838   936.0  0.3455       1.628       1.745
10.6610   938.0  0.3409       1.623       1.723
10.6383   940.0  0.3383       1.620       1.711
10.6157   942.0  0.3380       1.615       1.709
10.5932   944.0  0.3400       1.606       1.715
10.5708   946.0  0.3442       1.589       1.729
10.5485   948.0  0.3500       1.562       1.746
10.5263   950.0  0.3568       1.524       1.763
10.5042   952.0  0.3640       1.476       1.775
10.4822   954.0  0.3708       1.419       1.780
10.4603   956.0  0.3765       1.357       1.775
10.4384   958.0  0.3807       1.293       1.759
10.4167   960.0  0.3829       1.230       1.732
10.3950   962.0  0.3828       1.172       1.696
10.3734   964.0  0.3803       1.119       1.653
10.3520   966.0  0.3754       1.072       1.604
10.3306   968.0  0.3679       1.032       1.550
10.3093   970.0  0.3581      0.9999       1.494
10.2881   972.0  0.3459      0.9745       1.435
10.2669   974.0  0.3317      0.9559       1.377
10.2459   976.0  0.3155      0.9440       1.318
10.2249   978.0  0.2979      0.9386       1.261
10.2041   980.0  0.2791      0.9394       1.205
10.1833   982.0  0.2598      0.9462       1.151
10.1626   984.0  0.2406      0.9586       1.101
10.1420   986.0  0.2222      0.9761       1.056
10.1215   988.0  0.2053      0.9981       1.015
10.1010   990.0  0.1904       1.024      0.9811
10.0806   992.0  0.1782       1.051      0.9536
10.0604   994.0  0.1690       1.079      0.9335
10.0402   996.0  0.1626       1.106      0.9208
10.0200   998.0  0.1590       1.130      0.9152
10.0000  1000.0  0.1577       1.148      0.9153
 9.9800  1002.0  0.1580       1.159      0.9191
 9.9602  1004.0  0.1592       1.162      0.9238
 9.9404  1006.0  0.1602       1.156      0.9262
 9.9206  1008.0  0.1602       1.144      0.9231
 9.9010  1010.0  0.1583       1.129      0.9126
 9.8814  1012.0  0.1542       1.113      0.8937
 9.8619  1014.0  0.1476       1.100      0.8671
 9.8425  1016.0  0.1390       1.092      0.8344
 9.8232  1018.0  0.1288       1.090      0.7978
 9.8039  1020.0  0.1179       1.096      0.7595
 9.7847  1022.0  0.1072       1.109      0.7216
 9.7656  1024.0  0.0973       1.128      0.6856
 9.7466  1026.0  0.0888       1.152      0.6528
 9.7276  1028.0  0.0820       1.181      0.6238
 9.7087  1030.0  0.0769       1.214      0.5990
 9.6899  1032.0  0.0736       1.249      0.5787
 9.6712  1034.0  0.0719       1.287      0.5628
 9.6525  1036.0  0.0718       1.326      0.5512
 9.6339  1038.0  0.0729       1.366      0.5439
 9.6154  1040.0  0.0752       1.406      0.5409
 9.5969  1042.0  0.0786       1.448      0.5420
 9.5785  1044.0  0.0830       1.490      0.5474
 9.5602  1046.0  0.0883       1.532      0.5572
 9.5420  1048.0  0.0945       1.575      0.5716
 9.5238  1050.0  0.1015       1.618      0.5910
 9.5057  1052.0  0.1093       1.660      0.6158
 9.4877  1054.0  0.1180       1.702      0.6465
 9.4697  1056.0  0.1275       1.742      0.6838
 9.4518  1058.0  0.1380       1.781      0.7283
 9.4340  1060.0  0.1494       1.817      0.7807
 9.4162  1062.0  0.1618       1.848      0.8416
 9.3985  1064.0  0.1753       1.872      0.9114
 9.3809  1066.0  0.1897       1.888      0.9900
 9.3633  1068.0  0.2052       1.891       1.076
 9.3458  1070.0  0.2216       1.880       1.169
 9.3284  1072.0  0.2387       1.851       1.264
 9.3110  1074.0  0.2563       1.802       1.357
 9.2937  1076.0  0.2740       1.734       1.442
 9.2764  1078.0  0.2915       1.650       1.514
 9.2593  1080.0  0.3084       1.552       1.569
 9.2421  1082.0  0.3242       1.447       1.605
 9.2251  1084.0  0.3386       1.341       1.621
 9.2081  1086.0  0.3514       1.237       1.620
 9.1912  1088.0  0.3624       1.139       1.603
 9.1743  1090.0  0.3715       1.050       1.575
 9.1575  1092.0  0.3788      0.9700       1.538
 9.1408  1094.0  0.3841      0.8991       1.494
 9.1241  1096.0  0.3877      0.8368       1.447
 9.1075  1098.0  0.3895      0.7826       1.396
 9.0909  1100.0  0.3895      0.7356       1.344
 9.0744  1102.0  0.3880      0.6950       1.292
 9.0580  1104.0  0.3848      0.6601       1.239
 9.0416  1106.0  0.3801      0.6302       1.187
 9.0253  1108.0  0.3738      0.6049       1.135
 9.0090  1110.0  0.3661      0.5835       1.084
 8.9928  1112.0  0.3570      0.5658       1.033
 8.9767  1114.0  0.3464      0.5514      0.9837
 8.9606  1116.0  0.3345      0.5400      0.9348
 8.9445  1118.0  0.3212      0.5315      0.8867
 8.9286  1120.0  0.3066      0.5257      0.8395
 8.9127  1122.0  0.2907      0.5226      0.7930
 8.8968  1124.0  0.2738      0.5220      0.7474
 8.8810  1126.0  0.2559      0.5239      0.7028
 8.8652  1128.0  0.2371      0.5284      0.6592
 8.8496  1130.0  0.2179      0.5353      0.6169
 8.8339  1132.0  0.1983      0.5447      0.5760
 8.8183  1134.0  0.1788      0.5565      0.5367
 8.8028  1136.0  0.1598      0.5704      0.4994
 8.7873  1138.0  0.1415      0.5863      0.4642
 8.7719  1140.0  0.1244      0.6038      0.4313
 8.7566  1142.0  0.1085      0.6226      0.4008
 8.7413  1144.0  0.0941      0.6423      0.3729
 8.7260  1146.0  0.0812      0.6627      0.3474
 8.7108  1148.0  0.0699      0.6834      0.3242
 8.6957  1150.0  0.0599      0.7041      0.3032
 8.6806  1152.0  0.0513      0.7246      0.2842
 8.6655  1154.0  0.0438      0.7448      0.2670
 8.6505  1156.0  0.0373      0.7646      0.2514
 8.6356  1158.0  0.0318      0.7839      0.2374
 8.6207  1160.0  0.0271      0.8025      0.2246
 8.6059  1162.0  0.0231      0.8207      0.2129
 8.5911  1164.0  0.0196      0.8382      0.2023
 8.5763  1166.0  0.0167      0.8551      0.1926
 8.5616  1168.0  0.0142      0.8715      0.1837
 8.5470  1170.0  0.0121      0.8873      0.1755
 8.5324  1172.0  0.0103      0.9025      0.1679
 8.5179  1174.0  0.0088      0.9173      0.1609
 8.5034  1176.0  0.0076      0.9315      0.1545
 8.4890  1178.0  0.0066      0.9452      0.1485
 8.4746  1180.0  0.0057      0.9585      0.1429
 8.4602  1182.0  0.0051      0.9714      0.1377
 8.4459  1184.0  0.0045      0.9838      0.1328
 8.4317  1186.0  0.0041      0.9959      0.1283
 8.4175  1188.0  0.0038       1.008      0.1240
 8.4034  1190.0  0.0036       1.019      0.1200
 8.3893  1192.0  0.0035       1.030      0.1162
 8.3752  1194.0  0.0034       1.040      0.1127
 8.3612  1196.0  0.0034       1.051      0.1094
 8.3472  1198.0  0.0035       1.061      0.1062
 8.3333  1200.0  0.0036       1.071      0.1032
 8.3195  1202.0  0.0038       1.080      0.1004
 8.3056  1204.0  0.0040       1.089     0.09771
 8.2919  1206.0  0.0042       1.098     0.09517
 8.2781  1208.0  0.0045       1.107     0.09275
 8.2645  1210.0  0.0048       1.116     0.09046
 8.2508  1212.0  0.0051       1.124     0.08827
 8.2372  1214.0  0.0055       1.132     0.08619
 8.2237  1216.0  0.0058       1.140     0.08420
 8.2102  1218.0  0.0062       1.148     0.08231
 8.1967  1220.0  0.0066       1.155     0.08050
 8.1833  1222.0  0.0070       1.163     0.07877
 8.1699  1224.0  0.0074       1.170     0.07712
 8.1566  1226.0  0.0078       1.177     0.07553
 8.1433  1228.0  0.0082       1.184     0.07402
 8.1301  1230.0  0.0087       1.191     0.07257
 8.1169  1232.0  0.0091       1.198     0.07117
 8.1037  1234.0  0.0096       1.204     0.06984
 8.0906  1236.0  0.0100       1.210     0.06856
 8.0775  1238.0  0.0105       1.217     0.06733
 8.0645  1240.0  0.0109       1.223     0.06614
 8.0515  1242.0  0.0114       1.229     0.06501
 8.0386  1244.0  0.0118       1.235     0.06392
 8.0257  1246.0  0.0123       1.241     0.06287
 8.0128  1248.0  0.0128       1.246     0.06185
