alpha-SiO2 extraordinary ray from Handbook of optical constants of 
solids, edited by E.D. Palik (1985) Academic Press.  Values set to 
-1.e+32 where data is not provided.  Values between 4.99 and 32.001
microns come from application of dispersion calculations using the
oscillator parameters from Spitzer and Kleinman, Phys. Rev., 121, 1324,
1961.  Data beyond 32.001 microns is from the Palik reference.
Wavel.    real imag.
microns  index index
--------------------
  10.689   2.1076    1.7498E-02
  10.711   2.0986    1.7212E-02
  10.733   2.0897    1.6939E-02
  10.756   2.0810    1.6678E-02
  10.778   2.0723    1.6430E-02
  10.800   2.0638    1.6194E-02
  10.823   2.0554    1.5971E-02
  10.846   2.0471    1.5758E-02
  10.868   2.0389    1.5558E-02
  10.891   2.0309    1.5368E-02
  10.914   2.0229    1.5190E-02
  10.937   2.0150    1.5022E-02
  10.960   2.0072    1.4865E-02
  10.983   1.9994    1.4718E-02
  11.007   1.9918    1.4581E-02
  11.030   1.9842    1.4455E-02
  11.054   1.9766    1.4339E-02
  11.077   1.9691    1.4233E-02
  11.101   1.9617    1.4137E-02
  11.125   1.9543    1.4052E-02
  11.149   1.9470    1.3978E-02
  11.173   1.9397    1.3913E-02
  11.197   1.9324    1.3860E-02
  11.221   1.9251    1.3817E-02
  11.246   1.9179    1.3786E-02
  11.270   1.9106    1.3766E-02
  11.295   1.9034    1.3759E-02
  11.319   1.8962    1.3763E-02
  11.344   1.8889    1.3780E-02
  11.369   1.8817    1.3811E-02
  11.394   1.8745    1.3855E-02
  11.419   1.8672    1.3914E-02
  11.444   1.8598    1.3989E-02
  11.469   1.8525    1.4080E-02
  11.495   1.8450    1.4188E-02
  11.521   1.8376    1.4315E-02
  11.546   1.8300    1.4461E-02
  11.572   1.8224    1.4629E-02
  11.598   1.8147    1.4819E-02
  11.624   1.8069    1.5035E-02
  11.650   1.7989    1.5278E-02
  11.676   1.7909    1.5550E-02
  11.703   1.7827    1.5854E-02
  11.729   1.7743    1.6194E-02
  11.756   1.7657    1.6572E-02
  11.782   1.7570    1.6994E-02
  11.809   1.7480    1.7464E-02
  11.836   1.7388    1.7987E-02
  11.863   1.7294    1.8567E-02
  11.890   1.7196    1.9217E-02
  11.918   1.7094    1.9944E-02
  11.945   1.6989    2.0758E-02
  11.973   1.6880    2.1670E-02
  12.000   1.6766    2.2697E-02
  12.028   1.6646    2.3855E-02
  12.056   1.6521    2.5165E-02
  12.084   1.6388    2.6654E-02
  12.113   1.6249    2.8344E-02
  12.141   1.6100    3.0291E-02
