Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1600-250 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  1.982
Lorentz line parameters
center  width  strength
10.2249   978.0  0.2925   1.466   1.486
10.2041   980.0  0.2929   1.446   1.482
10.1833   982.0  0.2933   1.426   1.478
10.1626   984.0  0.2935   1.405   1.473
10.1420   986.0  0.2936   1.384   1.468
10.1215   988.0  0.2935   1.364   1.461
10.1010   990.0  0.2933   1.343   1.453
10.0806   992.0  0.2928   1.323   1.445
10.0604   994.0  0.2921   1.304   1.435
10.0402   996.0  0.2911   1.284   1.424
10.0200   998.0  0.2899   1.266   1.413
10.0000  1000.0  0.2884   1.248   1.400
 9.9800  1002.0  0.2866   1.231   1.387
 9.9602  1004.0  0.2845   1.215   1.373
 9.9404  1006.0  0.2821   1.200   1.359
 9.9206  1008.0  0.2795   1.186   1.344
 9.9010  1010.0  0.2766   1.173   1.328
 9.8814  1012.0  0.2734   1.161   1.312
 9.8619  1014.0  0.2700   1.150   1.296
 9.8425  1016.0  0.2664   1.141   1.280
 9.8232  1018.0  0.2627   1.133   1.264
 9.8039  1020.0  0.2588   1.126   1.247
 9.7847  1022.0  0.2548   1.120   1.232
 9.7656  1024.0  0.2507   1.115   1.216
 9.7466  1026.0  0.2466   1.112   1.201
 9.7276  1028.0  0.2425   1.109   1.187
 9.7087  1030.0  0.2385   1.107   1.173
 9.6899  1032.0  0.2346   1.107   1.160
 9.6712  1034.0  0.2309   1.107   1.148
 9.6525  1036.0  0.2274   1.108   1.137
 9.6339  1038.0  0.2241   1.109   1.127
 9.6154  1040.0  0.2211   1.111   1.118
 9.5969  1042.0  0.2184   1.113   1.110
 9.5785  1044.0  0.2160   1.116   1.103
 9.5602  1046.0  0.2140   1.119   1.097
 9.5420  1048.0  0.2124   1.121   1.093
 9.5238  1050.0  0.2112   1.123   1.090
 9.5057  1052.0  0.2104   1.125   1.088
 9.4877  1054.0  0.2099   1.127   1.087
 9.4697  1056.0  0.2099   1.127   1.087
 9.4518  1058.0  0.2102   1.127   1.088
 9.4340  1060.0  0.2109   1.126   1.090
 9.4162  1062.0  0.2119   1.124   1.092
 9.3985  1064.0  0.2132   1.121   1.095
 9.3809  1066.0  0.2147   1.116   1.099
 9.3633  1068.0  0.2165   1.111   1.102
 9.3458  1070.0  0.2184   1.104   1.106
 9.3284  1072.0  0.2205   1.095   1.109
 9.3110  1074.0  0.2227   1.086   1.112
 9.2937  1076.0  0.2249   1.075   1.115
 9.2764  1078.0  0.2271   1.063   1.116
 9.2593  1080.0  0.2293   1.051   1.117
 9.2421  1082.0  0.2314   1.037   1.117
 9.2251  1084.0  0.2333   1.023   1.116
 9.2081  1086.0  0.2351   1.008   1.113
 9.1912  1088.0  0.2366  0.9928   1.109
 9.1743  1090.0  0.2379  0.9775   1.104
 9.1575  1092.0  0.2389  0.9622   1.098
 9.1408  1094.0  0.2395  0.9469   1.091
 9.1241  1096.0  0.2399  0.9320   1.082
 9.1075  1098.0  0.2398  0.9174   1.073
 9.0909  1100.0  0.2394  0.9033   1.062
 9.0744  1102.0  0.2386  0.8898   1.050
 9.0580  1104.0  0.2375  0.8771   1.038
 9.0416  1106.0  0.2359  0.8650   1.025
 9.0253  1108.0  0.2339  0.8538   1.011
 9.0090  1110.0  0.2316  0.8435  0.9961
 8.9928  1112.0  0.2288  0.8341  0.9811
 8.9767  1114.0  0.2257  0.8257  0.9657
 8.9606  1116.0  0.2223  0.8182  0.9500
 8.9445  1118.0  0.2185  0.8117  0.9341
 8.9286  1120.0  0.2145  0.8061  0.9181
 8.9127  1122.0  0.2102  0.8016  0.9021
 8.8968  1124.0  0.2057  0.7980  0.8863
 8.8810  1126.0  0.2010  0.7953  0.8707
 8.8652  1128.0  0.1962  0.7935  0.8555
 8.8496  1130.0  0.1913  0.7926  0.8407
 8.8339  1132.0  0.1864  0.7924  0.8265
 8.8183  1134.0  0.1816  0.7928  0.8130
 8.8028  1136.0  0.1770  0.7938  0.8002
 8.7873  1138.0  0.1726  0.7951  0.7883
 8.7719  1140.0  0.1684  0.7967  0.7773
 8.7566  1142.0  0.1646  0.7982  0.7671
 8.7413  1144.0  0.1612  0.7995  0.7579
 8.7260  1146.0  0.1581  0.8004  0.7493
 8.7108  1148.0  0.1554  0.8007  0.7414
 8.6957  1150.0  0.1531  0.8001  0.7339
 8.6806  1152.0  0.1510  0.7988  0.7264
 8.6655  1154.0  0.1490  0.7965  0.7188
 8.6505  1156.0  0.1472  0.7935  0.7106
