Calcite Ordinary ray calculated from values derived from Table 1 of 
Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.6250
 oscillator  frequency    gamma       stength
      1     1.0410E+02 5.8000E-02  2.7751E+00
      2     2.2330E+02 5.4000E-02  9.4000E-01
      3     2.9560E+02 4.5700E-02  1.6657E+00
      4     7.1320E+02 1.0500E-02  1.7500E-02
      5     1.4068E+03 6.0000E-03  5.5070E-01
  frequency  Reflectance real index   imag. index
 2.7760E+03  4.6601E-02  1.5506E+00   2.9391E-04
 2.7720E+03  4.6565E-02  1.5503E+00   2.9574E-04
 2.7680E+03  4.6530E-02  1.5501E+00   2.9759E-04
 2.7640E+03  4.6494E-02  1.5498E+00   2.9945E-04
 2.7600E+03  4.6458E-02  1.5495E+00   3.0133E-04
 2.7560E+03  4.6421E-02  1.5493E+00   3.0323E-04
 2.7520E+03  4.6385E-02  1.5490E+00   3.0515E-04
 2.7480E+03  4.6348E-02  1.5487E+00   3.0708E-04
 2.7440E+03  4.6311E-02  1.5484E+00   3.0903E-04
 2.7400E+03  4.6274E-02  1.5481E+00   3.1100E-04
 2.7360E+03  4.6236E-02  1.5479E+00   3.1299E-04
 2.7320E+03  4.6198E-02  1.5476E+00   3.1500E-04
 2.7280E+03  4.6160E-02  1.5473E+00   3.1702E-04
 2.7240E+03  4.6122E-02  1.5470E+00   3.1907E-04
 2.7200E+03  4.6084E-02  1.5467E+00   3.2113E-04
 2.7160E+03  4.6045E-02  1.5464E+00   3.2321E-04
 2.7120E+03  4.6006E-02  1.5461E+00   3.2531E-04
 2.7080E+03  4.5967E-02  1.5458E+00   3.2743E-04
 2.7040E+03  4.5927E-02  1.5455E+00   3.2957E-04
 2.7000E+03  4.5888E-02  1.5452E+00   3.3174E-04
 2.6960E+03  4.5848E-02  1.5449E+00   3.3392E-04
 2.6920E+03  4.5807E-02  1.5446E+00   3.3612E-04
 2.6880E+03  4.5767E-02  1.5443E+00   3.3834E-04
 2.6840E+03  4.5726E-02  1.5440E+00   3.4059E-04
 2.6800E+03  4.5685E-02  1.5437E+00   3.4286E-04
 2.6760E+03  4.5644E-02  1.5434E+00   3.4514E-04
 2.6720E+03  4.5602E-02  1.5431E+00   3.4745E-04
 2.6680E+03  4.5560E-02  1.5427E+00   3.4979E-04
 2.6640E+03  4.5518E-02  1.5424E+00   3.5214E-04
 2.6600E+03  4.5476E-02  1.5421E+00   3.5452E-04
 2.6560E+03  4.5433E-02  1.5418E+00   3.5692E-04
 2.6520E+03  4.5390E-02  1.5415E+00   3.5935E-04
 2.6480E+03  4.5347E-02  1.5411E+00   3.6180E-04
 2.6440E+03  4.5304E-02  1.5408E+00   3.6427E-04
 2.6400E+03  4.5260E-02  1.5405E+00   3.6677E-04
 2.6360E+03  4.5216E-02  1.5401E+00   3.6930E-04
 2.6320E+03  4.5171E-02  1.5398E+00   3.7185E-04
 2.6280E+03  4.5127E-02  1.5395E+00   3.7442E-04
 2.6240E+03  4.5082E-02  1.5391E+00   3.7702E-04
 2.6200E+03  4.5036E-02  1.5388E+00   3.7965E-04
 2.6160E+03  4.4991E-02  1.5384E+00   3.8230E-04
 2.6120E+03  4.4945E-02  1.5381E+00   3.8498E-04
 2.6080E+03  4.4898E-02  1.5377E+00   3.8769E-04
 2.6040E+03  4.4852E-02  1.5374E+00   3.9042E-04
 2.6000E+03  4.4805E-02  1.5370E+00   3.9319E-04
 2.5960E+03  4.4758E-02  1.5367E+00   3.9598E-04
 2.5920E+03  4.4710E-02  1.5363E+00   3.9880E-04
 2.5880E+03  4.4662E-02  1.5359E+00   4.0165E-04
 2.5840E+03  4.4614E-02  1.5356E+00   4.0453E-04
 2.5800E+03  4.4565E-02  1.5352E+00   4.0744E-04
 2.5760E+03  4.4517E-02  1.5348E+00   4.1038E-04
 2.5720E+03  4.4467E-02  1.5344E+00   4.1335E-04
 2.5680E+03  4.4418E-02  1.5341E+00   4.1635E-04
 2.5640E+03  4.4368E-02  1.5337E+00   4.1939E-04
 2.5600E+03  4.4317E-02  1.5333E+00   4.2246E-04
 2.5560E+03  4.4267E-02  1.5329E+00   4.2556E-04
 2.5520E+03  4.4216E-02  1.5325E+00   4.2869E-04
 2.5480E+03  4.4164E-02  1.5321E+00   4.3185E-04
 2.5440E+03  4.4113E-02  1.5317E+00   4.3506E-04
 2.5400E+03  4.4060E-02  1.5313E+00   4.3829E-04
 2.5360E+03  4.4008E-02  1.5309E+00   4.4156E-04
 2.5320E+03  4.3955E-02  1.5305E+00   4.4487E-04
 2.5280E+03  4.3902E-02  1.5301E+00   4.4821E-04
 2.5240E+03  4.3848E-02  1.5297E+00   4.5159E-04
 2.5200E+03  4.3794E-02  1.5293E+00   4.5501E-04
 2.5160E+03  4.3739E-02  1.5289E+00   4.5846E-04
 2.5120E+03  4.3685E-02  1.5285E+00   4.6195E-04
 2.5080E+03  4.3629E-02  1.5280E+00   4.6549E-04
 2.5040E+03  4.3574E-02  1.5276E+00   4.6906E-04
 2.5000E+03  4.3517E-02  1.5272E+00   4.7267E-04
 2.4960E+03  4.3461E-02  1.5268E+00   4.7632E-04
 2.4920E+03  4.3404E-02  1.5263E+00   4.8001E-04
 2.4880E+03  4.3347E-02  1.5259E+00   4.8375E-04
 2.4840E+03  4.3289E-02  1.5254E+00   4.8753E-04
 2.4800E+03  4.3230E-02  1.5250E+00   4.9135E-04
 2.4760E+03  4.3172E-02  1.5245E+00   4.9522E-04
 2.4720E+03  4.3113E-02  1.5241E+00   4.9913E-04
 2.4680E+03  4.3053E-02  1.5236E+00   5.0308E-04
 2.4640E+03  4.2993E-02  1.5232E+00   5.0708E-04
 2.4600E+03  4.2932E-02  1.5227E+00   5.1113E-04
 2.4560E+03  4.2871E-02  1.5222E+00   5.1523E-04
 2.4520E+03  4.2810E-02  1.5218E+00   5.1937E-04
