Dypingite optical constants from Roush, J. 
Geophys. Res., 101, 2215-2225, 1996.
  wavelength  calc. ref.  real index  imag. index
 7.3867E+00  4.8245E-02  1.5463E+00   1.1460E-01
 7.3973E+00  4.7445E-02  1.5411E+00   1.1099E-01
 7.4078E+00  4.6671E-02  1.5359E+00   1.0778E-01
 7.4185E+00  4.5922E-02  1.5309E+00   1.0491E-01
 7.4291E+00  4.5201E-02  1.5259E+00   1.0238E-01
 7.4397E+00  4.4512E-02  1.5211E+00   1.0014E-01
 7.4504E+00  4.3847E-02  1.5164E+00   9.8154E-02
 7.4611E+00  4.3210E-02  1.5118E+00   9.6406E-02
 7.4719E+00  4.2600E-02  1.5074E+00   9.4871E-02
 7.4827E+00  4.2017E-02  1.5032E+00   9.3529E-02
 7.4935E+00  4.1460E-02  1.4990E+00   9.2359E-02
 7.5043E+00  4.0930E-02  1.4951E+00   9.1349E-02
 7.5152E+00  4.0421E-02  1.4913E+00   9.0474E-02
 7.5261E+00  3.9936E-02  1.4876E+00   8.9725E-02
 7.5370E+00  3.9473E-02  1.4840E+00   8.9088E-02
 7.5480E+00  3.9031E-02  1.4806E+00   8.8553E-02
 7.5590E+00  3.8610E-02  1.4774E+00   8.8107E-02
 7.5701E+00  3.8209E-02  1.4742E+00   8.7742E-02
 7.5811E+00  3.7828E-02  1.4712E+00   8.7450E-02
 7.5922E+00  3.7464E-02  1.4683E+00   8.7219E-02
 7.6033E+00  3.7117E-02  1.4656E+00   8.7042E-02
 7.6145E+00  3.6786E-02  1.4629E+00   8.6913E-02
 7.6257E+00  3.6472E-02  1.4604E+00   8.6824E-02
 7.6370E+00  3.6172E-02  1.4580E+00   8.6768E-02
 7.6482E+00  3.5889E-02  1.4557E+00   8.6740E-02
 7.6595E+00  3.5618E-02  1.4534E+00   8.6732E-02
 7.6708E+00  3.5360E-02  1.4513E+00   8.6740E-02
 7.6822E+00  3.5115E-02  1.4493E+00   8.6757E-02
 7.6936E+00  3.4881E-02  1.4474E+00   8.6780E-02
 7.7051E+00  3.4658E-02  1.4455E+00   8.6802E-02
 7.7165E+00  3.4446E-02  1.4438E+00   8.6820E-02
 7.7280E+00  3.4244E-02  1.4421E+00   8.6828E-02
 7.7395E+00  3.4050E-02  1.4405E+00   8.6823E-02
 7.7511E+00  3.3864E-02  1.4390E+00   8.6801E-02
 7.7627E+00  3.3686E-02  1.4375E+00   8.6759E-02
 7.7744E+00  3.3514E-02  1.4361E+00   8.6694E-02
 7.7860E+00  3.3349E-02  1.4347E+00   8.6602E-02
 7.7977E+00  3.3190E-02  1.4334E+00   8.6482E-02
 7.8094E+00  3.3035E-02  1.4322E+00   8.6331E-02
 7.8212E+00  3.2884E-02  1.4309E+00   8.6147E-02
 7.8331E+00  3.2736E-02  1.4297E+00   8.5929E-02
