Calcite Extraordinary ray calculated from values derived from Table 2 
of Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.1700
 oscillator  frequency    gamma       strength
      1     9.4600E+01 7.1800E-02  4.6412E+00
      2     3.0490E+02 3.4300E-02  1.3350E+00
      3     8.7080E+02 1.8000E-03  8.1700E-02
  frequency  Reflectance real index   imag. index
 2.8440E+03  3.5360E-02  1.4632E+00   2.5688E-05
 2.8400E+03  3.5357E-02  1.4632E+00   2.5800E-05
 2.8360E+03  3.5353E-02  1.4631E+00   2.5912E-05
 2.8320E+03  3.5349E-02  1.4631E+00   2.6025E-05
 2.8280E+03  3.5346E-02  1.4631E+00   2.6139E-05
 2.8240E+03  3.5342E-02  1.4630E+00   2.6253E-05
 2.8200E+03  3.5338E-02  1.4630E+00   2.6368E-05
 2.8160E+03  3.5335E-02  1.4630E+00   2.6483E-05
 2.8120E+03  3.5331E-02  1.4629E+00   2.6599E-05
 2.8080E+03  3.5327E-02  1.4629E+00   2.6716E-05
 2.8040E+03  3.5323E-02  1.4629E+00   2.6834E-05
 2.8000E+03  3.5320E-02  1.4629E+00   2.6952E-05
 2.7960E+03  3.5316E-02  1.4628E+00   2.7071E-05
 2.7920E+03  3.5312E-02  1.4628E+00   2.7191E-05
 2.7880E+03  3.5308E-02  1.4628E+00   2.7311E-05
 2.7840E+03  3.5304E-02  1.4627E+00   2.7432E-05
 2.7800E+03  3.5301E-02  1.4627E+00   2.7554E-05
 2.7760E+03  3.5297E-02  1.4627E+00   2.7677E-05
 2.7720E+03  3.5293E-02  1.4626E+00   2.7800E-05
 2.7680E+03  3.5289E-02  1.4626E+00   2.7924E-05
 2.7640E+03  3.5285E-02  1.4626E+00   2.8049E-05
 2.7600E+03  3.5281E-02  1.4625E+00   2.8175E-05
 2.7560E+03  3.5277E-02  1.4625E+00   2.8301E-05
 2.7520E+03  3.5273E-02  1.4625E+00   2.8428E-05
 2.7480E+03  3.5269E-02  1.4624E+00   2.8556E-05
 2.7440E+03  3.5265E-02  1.4624E+00   2.8685E-05
 2.7400E+03  3.5261E-02  1.4624E+00   2.8814E-05
 2.7360E+03  3.5257E-02  1.4624E+00   2.8944E-05
 2.7320E+03  3.5253E-02  1.4623E+00   2.9075E-05
 2.7280E+03  3.5249E-02  1.4623E+00   2.9207E-05
 2.7240E+03  3.5245E-02  1.4623E+00   2.9340E-05
 2.7200E+03  3.5241E-02  1.4622E+00   2.9473E-05
 2.7160E+03  3.5236E-02  1.4622E+00   2.9607E-05
 2.7120E+03  3.5232E-02  1.4622E+00   2.9742E-05
 2.7080E+03  3.5228E-02  1.4621E+00   2.9878E-05
 2.7040E+03  3.5224E-02  1.4621E+00   3.0015E-05
 2.7000E+03  3.5220E-02  1.4621E+00   3.0152E-05
 2.6960E+03  3.5215E-02  1.4620E+00   3.0291E-05
 2.6920E+03  3.5211E-02  1.4620E+00   3.0430E-05
 2.6880E+03  3.5207E-02  1.4619E+00   3.0570E-05
 2.6840E+03  3.5202E-02  1.4619E+00   3.0711E-05
 2.6800E+03  3.5198E-02  1.4619E+00   3.0853E-05
 2.6760E+03  3.5194E-02  1.4618E+00   3.0996E-05
 2.6720E+03  3.5189E-02  1.4618E+00   3.1139E-05
 2.6680E+03  3.5185E-02  1.4618E+00   3.1284E-05
 2.6640E+03  3.5181E-02  1.4617E+00   3.1429E-05
 2.6600E+03  3.5176E-02  1.4617E+00   3.1576E-05
 2.6560E+03  3.5172E-02  1.4617E+00   3.1723E-05
 2.6520E+03  3.5167E-02  1.4616E+00   3.1871E-05
 2.6480E+03  3.5163E-02  1.4616E+00   3.2020E-05
 2.6440E+03  3.5158E-02  1.4616E+00   3.2170E-05
 2.6400E+03  3.5154E-02  1.4615E+00   3.2321E-05
 2.6360E+03  3.5149E-02  1.4615E+00   3.2473E-05
 2.6320E+03  3.5145E-02  1.4614E+00   3.2626E-05
 2.6280E+03  3.5140E-02  1.4614E+00   3.2780E-05
 2.6240E+03  3.5135E-02  1.4614E+00   3.2935E-05
 2.6200E+03  3.5131E-02  1.4613E+00   3.3091E-05
 2.6160E+03  3.5126E-02  1.4613E+00   3.3247E-05
 2.6120E+03  3.5121E-02  1.4613E+00   3.3405E-05
 2.6080E+03  3.5117E-02  1.4612E+00   3.3564E-05
 2.6040E+03  3.5112E-02  1.4612E+00   3.3724E-05
 2.6000E+03  3.5107E-02  1.4611E+00   3.3885E-05
 2.5960E+03  3.5102E-02  1.4611E+00   3.4047E-05
 2.5920E+03  3.5098E-02  1.4611E+00   3.4210E-05
 2.5880E+03  3.5093E-02  1.4610E+00   3.4374E-05
 2.5840E+03  3.5088E-02  1.4610E+00   3.4539E-05
 2.5800E+03  3.5083E-02  1.4609E+00   3.4705E-05
 2.5760E+03  3.5078E-02  1.4609E+00   3.4872E-05
 2.5720E+03  3.5073E-02  1.4609E+00   3.5041E-05
 2.5680E+03  3.5068E-02  1.4608E+00   3.5210E-05
 2.5640E+03  3.5063E-02  1.4608E+00   3.5381E-05
 2.5600E+03  3.5058E-02  1.4607E+00   3.5552E-05
 2.5560E+03  3.5053E-02  1.4607E+00   3.5725E-05
 2.5520E+03  3.5048E-02  1.4607E+00   3.5899E-05
 2.5480E+03  3.5043E-02  1.4606E+00   3.6074E-05
 2.5440E+03  3.5038E-02  1.4606E+00   3.6250E-05
 2.5400E+03  3.5033E-02  1.4605E+00   3.6428E-05
 2.5360E+03  3.5028E-02  1.4605E+00   3.6606E-05
 2.5320E+03  3.5022E-02  1.4605E+00   3.6786E-05
 2.5280E+03  3.5017E-02  1.4604E+00   3.6967E-05
 2.5240E+03  3.5012E-02  1.4604E+00   3.7149E-05
 2.5200E+03  3.5007E-02  1.4603E+00   3.7332E-05
 2.5160E+03  3.5001E-02  1.4603E+00   3.7517E-05
 2.5120E+03  3.4996E-02  1.4602E+00   3.7703E-05
 2.5080E+03  3.4991E-02  1.4602E+00   3.7890E-05
 2.5040E+03  3.4985E-02  1.4602E+00   3.8078E-05
 2.5000E+03  3.4980E-02  1.4601E+00   3.8267E-05
 2.4960E+03  3.4975E-02  1.4601E+00   3.8458E-05
 2.4920E+03  3.4969E-02  1.4600E+00   3.8650E-05
 2.4880E+03  3.4964E-02  1.4600E+00   3.8844E-05
 2.4840E+03  3.4958E-02  1.4599E+00   3.9038E-05
 2.4800E+03  3.4953E-02  1.4599E+00   3.9234E-05
 2.4760E+03  3.4947E-02  1.4598E+00   3.9432E-05
 2.4720E+03  3.4941E-02  1.4598E+00   3.9630E-05
 2.4680E+03  3.4936E-02  1.4598E+00   3.9830E-05
 2.4640E+03  3.4930E-02  1.4597E+00   4.0032E-05
 2.4600E+03  3.4924E-02  1.4597E+00   4.0234E-05
 2.4560E+03  3.4919E-02  1.4596E+00   4.0439E-05
 2.4520E+03  3.4913E-02  1.4596E+00   4.0644E-05
 2.4480E+03  3.4907E-02  1.4595E+00   4.0851E-05
 2.4440E+03  3.4901E-02  1.4595E+00   4.1059E-05
 2.4400E+03  3.4896E-02  1.4594E+00   4.1269E-05
 2.4360E+03  3.4890E-02  1.4594E+00   4.1480E-05
 2.4320E+03  3.4884E-02  1.4593E+00   4.1693E-05
 2.4280E+03  3.4878E-02  1.4593E+00   4.1907E-05
 2.4240E+03  3.4872E-02  1.4592E+00   4.2123E-05
 2.4200E+03  3.4866E-02  1.4592E+00   4.2340E-05
