Darapskite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  Range of validity is given
as 5-17 micrometers
  wavelength  calc. ref.  real index  imag. index
 2.9132E+00  2.6098E-02  1.3835E+00   1.0085E-04
 2.9148E+00  2.6096E-02  1.3835E+00   1.0106E-04
 2.9165E+00  2.6094E-02  1.3835E+00   1.0127E-04
 2.9181E+00  2.6092E-02  1.3834E+00   1.0148E-04
 2.9198E+00  2.6090E-02  1.3834E+00   1.0169E-04
 2.9214E+00  2.6088E-02  1.3834E+00   1.0190E-04
 2.9230E+00  2.6085E-02  1.3834E+00   1.0211E-04
 2.9247E+00  2.6083E-02  1.3834E+00   1.0232E-04
 2.9263E+00  2.6081E-02  1.3833E+00   1.0254E-04
 2.9280E+00  2.6079E-02  1.3833E+00   1.0275E-04
 2.9297E+00  2.6077E-02  1.3833E+00   1.0296E-04
 2.9313E+00  2.6075E-02  1.3833E+00   1.0318E-04
 2.9330E+00  2.6073E-02  1.3833E+00   1.0339E-04
 2.9346E+00  2.6071E-02  1.3832E+00   1.0361E-04
 2.9363E+00  2.6069E-02  1.3832E+00   1.0382E-04
 2.9379E+00  2.6067E-02  1.3832E+00   1.0404E-04
 2.9396E+00  2.6064E-02  1.3832E+00   1.0426E-04
 2.9413E+00  2.6062E-02  1.3832E+00   1.0448E-04
 2.9430E+00  2.6060E-02  1.3832E+00   1.0469E-04
 2.9446E+00  2.6058E-02  1.3831E+00   1.0491E-04
 2.9463E+00  2.6056E-02  1.3831E+00   1.0513E-04
 2.9480E+00  2.6054E-02  1.3831E+00   1.0535E-04
 2.9496E+00  2.6052E-02  1.3831E+00   1.0558E-04
 2.9513E+00  2.6050E-02  1.3831E+00   1.0580E-04
 2.9530E+00  2.6047E-02  1.3830E+00   1.0602E-04
 2.9547E+00  2.6045E-02  1.3830E+00   1.0624E-04
 2.9564E+00  2.6043E-02  1.3830E+00   1.0647E-04
 2.9581E+00  2.6041E-02  1.3830E+00   1.0669E-04
 2.9597E+00  2.6039E-02  1.3830E+00   1.0692E-04
 2.9614E+00  2.6037E-02  1.3829E+00   1.0714E-04
 2.9631E+00  2.6034E-02  1.3829E+00   1.0737E-04
 2.9648E+00  2.6032E-02  1.3829E+00   1.0760E-04
 2.9665E+00  2.6030E-02  1.3829E+00   1.0782E-04
 2.9682E+00  2.6028E-02  1.3829E+00   1.0805E-04
 2.9699E+00  2.6026E-02  1.3829E+00   1.0828E-04
 2.9716E+00  2.6023E-02  1.3828E+00   1.0851E-04
 2.9733E+00  2.6021E-02  1.3828E+00   1.0874E-04
 2.9750E+00  2.6019E-02  1.3828E+00   1.0897E-04
 2.9767E+00  2.6017E-02  1.3828E+00   1.0921E-04
 2.9784E+00  2.6015E-02  1.3828E+00   1.0944E-04
 2.9802E+00  2.6012E-02  1.3827E+00   1.0967E-04
 2.9819E+00  2.6010E-02  1.3827E+00   1.0991E-04
 2.9836E+00  2.6008E-02  1.3827E+00   1.1014E-04
 2.9853E+00  2.6006E-02  1.3827E+00   1.1038E-04
 2.9870E+00  2.6003E-02  1.3827E+00   1.1061E-04
 2.9887E+00  2.6001E-02  1.3826E+00   1.1085E-04
 2.9905E+00  2.5999E-02  1.3826E+00   1.1109E-04
 2.9922E+00  2.5997E-02  1.3826E+00   1.1132E-04
 2.9939E+00  2.5994E-02  1.3826E+00   1.1156E-04
 2.9956E+00  2.5992E-02  1.3826E+00   1.1180E-04
 2.9974E+00  2.5990E-02  1.3825E+00   1.1204E-04
 2.9991E+00  2.5987E-02  1.3825E+00   1.1228E-04
 3.0008E+00  2.5985E-02  1.3825E+00   1.1253E-04
 3.0026E+00  2.5983E-02  1.3825E+00   1.1277E-04
 3.0043E+00  2.5981E-02  1.3825E+00   1.1301E-04
 3.0061E+00  2.5978E-02  1.3824E+00   1.1326E-04
 3.0078E+00  2.5976E-02  1.3824E+00   1.1350E-04
 3.0096E+00  2.5974E-02  1.3824E+00   1.1375E-04
 3.0113E+00  2.5971E-02  1.3824E+00   1.1399E-04
 3.0131E+00  2.5969E-02  1.3824E+00   1.1424E-04
 3.0148E+00  2.5967E-02  1.3823E+00   1.1449E-04
 3.0166E+00  2.5964E-02  1.3823E+00   1.1474E-04
 3.0183E+00  2.5962E-02  1.3823E+00   1.1499E-04
 3.0201E+00  2.5960E-02  1.3823E+00   1.1524E-04
 3.0218E+00  2.5957E-02  1.3823E+00   1.1549E-04
 3.0236E+00  2.5955E-02  1.3822E+00   1.1574E-04
 3.0254E+00  2.5953E-02  1.3822E+00   1.1599E-04
 3.0271E+00  2.5950E-02  1.3822E+00   1.1624E-04
 3.0289E+00  2.5948E-02  1.3822E+00   1.1650E-04
 3.0307E+00  2.5946E-02  1.3821E+00   1.1675E-04
 3.0324E+00  2.5943E-02  1.3821E+00   1.1701E-04
 3.0342E+00  2.5941E-02  1.3821E+00   1.1726E-04
