Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 6.5308E+00  3.2201E-02  1.4352E+00   1.2343E-02
 6.5391E+00  3.2091E-02  1.4343E+00   1.2169E-02
 6.5473E+00  3.1982E-02  1.4334E+00   1.2006E-02
 6.5556E+00  3.1874E-02  1.4325E+00   1.1853E-02
 6.5639E+00  3.1766E-02  1.4316E+00   1.1709E-02
 6.5722E+00  3.1659E-02  1.4307E+00   1.1575E-02
 6.5805E+00  3.1552E-02  1.4299E+00   1.1449E-02
 6.5889E+00  3.1445E-02  1.4290E+00   1.1332E-02
 6.5973E+00  3.1339E-02  1.4281E+00   1.1222E-02
 6.6057E+00  3.1233E-02  1.4272E+00   1.1120E-02
 6.6142E+00  3.1127E-02  1.4263E+00   1.1024E-02
 6.6226E+00  3.1021E-02  1.4254E+00   1.0936E-02
 6.6310E+00  3.0916E-02  1.4246E+00   1.0855E-02
 6.6395E+00  3.0811E-02  1.4237E+00   1.0780E-02
 6.6481E+00  3.0705E-02  1.4228E+00   1.0710E-02
 6.6566E+00  3.0600E-02  1.4219E+00   1.0647E-02
 6.6652E+00  3.0495E-02  1.4210E+00   1.0589E-02
 6.6737E+00  3.0389E-02  1.4202E+00   1.0536E-02
 6.6823E+00  3.0285E-02  1.4193E+00   1.0489E-02
 6.6909E+00  3.0179E-02  1.4184E+00   1.0447E-02
 6.6996E+00  3.0074E-02  1.4175E+00   1.0409E-02
 6.7083E+00  2.9968E-02  1.4166E+00   1.0376E-02
 6.7170E+00  2.9862E-02  1.4157E+00   1.0348E-02
 6.7257E+00  2.9756E-02  1.4148E+00   1.0324E-02
 6.7344E+00  2.9650E-02  1.4139E+00   1.0305E-02
 6.7431E+00  2.9544E-02  1.4130E+00   1.0289E-02
 6.7519E+00  2.9438E-02  1.4121E+00   1.0278E-02
 6.7607E+00  2.9331E-02  1.4112E+00   1.0271E-02
 6.7696E+00  2.9223E-02  1.4103E+00   1.0267E-02
 6.7784E+00  2.9115E-02  1.4094E+00   1.0268E-02
 6.7873E+00  2.9007E-02  1.4085E+00   1.0272E-02
 6.7962E+00  2.8899E-02  1.4076E+00   1.0279E-02
