From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.1866D+01  0.1395D+01  0.2777D-02  0.2547D+03  0.2439D+03
  0.1868D+01  0.1395D+01  0.2791D-02  0.2555D+03  0.2420D+03
  0.1868D+01  0.1395D+01  0.2791D-02  0.2564D+03  0.2447D+03
  0.1870D+01  0.1395D+01  0.2804D-02  0.2574D+03  0.2428D+03
  0.1872D+01  0.1395D+01  0.2818D-02  0.2583D+03  0.2441D+03
  0.1874D+01  0.1394D+01  0.2832D-02  0.2594D+03  0.2473D+03
  0.1876D+01  0.1394D+01  0.2846D-02  0.2603D+03  0.2472D+03
  0.1877D+01  0.1394D+01  0.2860D-02  0.2613D+03  0.2506D+03
  0.1879D+01  0.1394D+01  0.2874D-02  0.2622D+03  0.2513D+03
  0.1881D+01  0.1394D+01  0.2888D-02  0.2632D+03  0.2527D+03
  0.1883D+01  0.1394D+01  0.2903D-02  0.2642D+03  0.2519D+03
  0.1885D+01  0.1394D+01  0.2917D-02  0.2652D+03  0.2544D+03
  0.1887D+01  0.1394D+01  0.2932D-02  0.2662D+03  0.2558D+03
  0.1889D+01  0.1394D+01  0.2945D-02  0.2672D+03  0.2546D+03
  0.1890D+01  0.1394D+01  0.2959D-02  0.2682D+03  0.2560D+03
  0.1892D+01  0.1394D+01  0.2972D-02  0.2692D+03  0.2598D+03
  0.1894D+01  0.1394D+01  0.2986D-02  0.2702D+03  0.2632D+03
  0.1896D+01  0.1394D+01  0.3000D-02  0.2712D+03  0.2637D+03
  0.1897D+01  0.1394D+01  0.3013D-02  0.2721D+03  0.2633D+03
  0.1899D+01  0.1394D+01  0.3028D-02  0.2731D+03  0.2642D+03
  0.1901D+01  0.1394D+01  0.3041D-02  0.2741D+03  0.2689D+03
  0.1903D+01  0.1394D+01  0.3056D-02  0.2751D+03  0.2687D+03
  0.1905D+01  0.1394D+01  0.3069D-02  0.2760D+03  0.2691D+03
