From Roush 1995, Optical constants of amorphous carbon
in the mid-IR (2.5-25 mm, 4000-400 cm-1), Planet. Space
Sci., 43 (10/11), 1297-1301.

 wavelength  calculated     real      imaginary
  (microns) reflectance     index       index
 2.7745E+00  9.0641E-02  1.7400E+00   3.8187E-01
 2.7759E+00  9.0703E-02  1.7402E+00   3.8232E-01
 2.7774E+00  9.0766E-02  1.7404E+00   3.8277E-01
 2.7789E+00  9.0829E-02  1.7405E+00   3.8322E-01
 2.7804E+00  9.0891E-02  1.7407E+00   3.8367E-01
 2.7819E+00  9.0955E-02  1.7409E+00   3.8412E-01
 2.7834E+00  9.1018E-02  1.7411E+00   3.8457E-01
 2.7849E+00  9.1082E-02  1.7412E+00   3.8502E-01
 2.7864E+00  9.1146E-02  1.7414E+00   3.8547E-01
 2.7879E+00  9.1210E-02  1.7416E+00   3.8591E-01
 2.7894E+00  9.1274E-02  1.7418E+00   3.8636E-01
 2.7909E+00  9.1339E-02  1.7420E+00   3.8681E-01
 2.7924E+00  9.1403E-02  1.7422E+00   3.8725E-01
 2.7939E+00  9.1468E-02  1.7423E+00   3.8770E-01
 2.7954E+00  9.1533E-02  1.7425E+00   3.8815E-01
 2.7969E+00  9.1598E-02  1.7427E+00   3.8859E-01
 2.7984E+00  9.1664E-02  1.7429E+00   3.8904E-01
 2.7999E+00  9.1729E-02  1.7431E+00   3.8948E-01
 2.8014E+00  9.1795E-02  1.7433E+00   3.8993E-01
 2.8030E+00  9.1861E-02  1.7435E+00   3.9037E-01
 2.8045E+00  9.1927E-02  1.7437E+00   3.9081E-01
 2.8060E+00  9.1994E-02  1.7439E+00   3.9125E-01
 2.8075E+00  9.2060E-02  1.7441E+00   3.9170E-01
 2.8090E+00  9.2127E-02  1.7443E+00   3.9214E-01
 2.8106E+00  9.2193E-02  1.7445E+00   3.9258E-01
 2.8121E+00  9.2261E-02  1.7447E+00   3.9302E-01
 2.8136E+00  9.2327E-02  1.7449E+00   3.9345E-01
 2.8151E+00  9.2395E-02  1.7451E+00   3.9389E-01
 2.8167E+00  9.2462E-02  1.7453E+00   3.9433E-01
 2.8182E+00  9.2530E-02  1.7455E+00   3.9477E-01
 2.8197E+00  9.2597E-02  1.7457E+00   3.9520E-01
 2.8213E+00  9.2665E-02  1.7460E+00   3.9564E-01
 2.8228E+00  9.2733E-02  1.7462E+00   3.9607E-01
 2.8243E+00  9.2801E-02  1.7464E+00   3.9650E-01
 2.8259E+00  9.2870E-02  1.7466E+00   3.9693E-01
 2.8274E+00  9.2938E-02  1.7468E+00   3.9737E-01
 2.8290E+00  9.3007E-02  1.7470E+00   3.9780E-01
 2.8305E+00  9.3075E-02  1.7473E+00   3.9823E-01
 2.8320E+00  9.3143E-02  1.7475E+00   3.9865E-01
 2.8336E+00  9.3212E-02  1.7477E+00   3.9908E-01
 2.8351E+00  9.3281E-02  1.7479E+00   3.9951E-01
 2.8367E+00  9.3350E-02  1.7482E+00   3.9993E-01
 2.8382E+00  9.3420E-02  1.7484E+00   4.0036E-01
 2.8398E+00  9.3489E-02  1.7486E+00   4.0078E-01
 2.8413E+00  9.3558E-02  1.7489E+00   4.0120E-01
 2.8429E+00  9.3627E-02  1.7491E+00   4.0162E-01
 2.8445E+00  9.3696E-02  1.7493E+00   4.0204E-01
 2.8460E+00  9.3766E-02  1.7496E+00   4.0246E-01
 2.8476E+00  9.3836E-02  1.7498E+00   4.0288E-01
 2.8492E+00  9.3906E-02  1.7500E+00   4.0330E-01
 2.8507E+00  9.3975E-02  1.7503E+00   4.0371E-01
 2.8523E+00  9.4044E-02  1.7505E+00   4.0412E-01
 2.8539E+00  9.4114E-02  1.7508E+00   4.0453E-01
 2.8554E+00  9.4184E-02  1.7510E+00   4.0495E-01
 2.8570E+00  9.4254E-02  1.7512E+00   4.0536E-01
 2.8586E+00  9.4324E-02  1.7515E+00   4.0577E-01
 2.8602E+00  9.4394E-02  1.7517E+00   4.0617E-01
 2.8617E+00  9.4464E-02  1.7520E+00   4.0658E-01
